t,loss_pct,delay_ms,jitter_ms,dup_pct,rate_limit_mbps,dstPort,flowTag
21.9,0,0,0,0,0,8000,
22.0,0,0,0,0,0,14550,
22.0,0,0,0,0,0,8000,
22.1,0,0,0,0,0,14550,
22.1,0,0,0,0,0,8000,
22.2,0,0,0,0,0,14550,
22.2,0,0,0,0,0,8000,
22.3,0,0,0,0,0,14550,
22.3,0,0,0,0,0,8000,
22.4,0,0,0,0,0,14550,
22.4,0,0,0,0,0,8000,
22.5,0,0,0,0,0,14550,
22.5,0,0,0,0,0,8000,
22.6,0,0,0,0,0,14550,
22.6,0,0,0,0,0,8000,
22.7,0,0,0,0,0,14550,
22.7,0,0,0,0,0,8000,
22.8,0,0,0,0,0,14550,
22.8,0,0,0,0,0,8000,
22.9,0,0,0,0,0,14550,
22.9,0,0,0,0,0,8000,
23.0,0,0,0,0,0,14550,
23.0,0,0,0,0,0,8000,
23.1,0,0,0,0,0,14550,
23.1,0,0,0,0,0,8000,
23.2,0,0,0,0,0,14550,
23.2,0,0,0,0,0,8000,
23.3,0,0,0,0,0,14550,
23.3,0,0,0,0,0,8000,
23.4,0,0,0,0,0,14550,
23.4,0,0,0,0,0,8000,
23.5,0,0,0,0,0,14550,
23.5,0,0,0,0,0,8000,
23.6,0,0,0,0,0,14550,
23.6,0,0,0,0,0,8000,
23.7,0,0,0,0,0,14550,
23.7,0,0,0,0,0,8000,
23.8,0,0,0,0,0,14550,
23.8,0,0,0,0,0,8000,
23.9,0,0,0,0,0,14550,
23.9,0,0,0,0,0,8000,
24.0,0,0,0,0,0,14550,
24.0,0,0,0,0,0,8000,
24.1,0,0,0,0,0,14550,
24.1,0,0,0,0,0,8000,
24.2,0,0,0,0,0,14550,
24.2,0,0,0,0,0,8000,
24.3,0,0,0,0,0,14550,
24.3,0,0,0,0,0,8000,
24.4,0,0,0,0,0,14550,
24.4,0,0,0,0,0,8000,
24.5,0,0,0,0,0,14550,
24.5,0,0,0,0,0,8000,
24.6,0,0,0,0,0,14550,
24.6,0,0,0,0,0,8000,
24.7,0,0,0,0,0,14550,
24.7,0,0,0,0,0,8000,
24.8,0,0,0,0,0,14550,
24.8,0,0,0,0,0,8000,
24.9,0,0,0,0,0,14550,
24.9,0,0,0,0,0,8000,
25.0,0,0,0,0,0,14550,
25.0,0,0,0,0,0,8000,
25.1,0,0,0,0,0,14550,
25.1,0,0,0,0,0,8000,
25.2,0,0,0,0,0,14550,
25.2,0,0,0,0,0,8000,
25.3,0,0,0,0,0,14550,
25.3,0,0,0,0,0,8000,
25.4,0,0,0,0,0,14550,
25.4,0,0,0,0,0,8000,
25.5,0,0,0,0,0,14550,
25.5,0,0,0,0,0,8000,
25.6,0,0,0,0,0,14550,
25.6,0,0,0,0,0,8000,
25.7,0,0,0,0,0,14550,
25.7,0,0,0,0,0,8000,
25.8,0,0,0,0,0,14550,
25.8,0,0,0,0,0,8000,
25.9,0,0,0,0,0,14550,
25.9,0,0,0,0,0,8000,
26.0,0,0,0,0,0,14550,
26.0,0,0,0,0,0,8000,
26.1,0,0,0,0,0,14550,
26.1,0,0,0,0,0,8000,
26.2,0,0,0,0,0,14550,
26.2,0,0,0,0,0,8000,
26.3,0,0,0,0,0,14550,
26.3,0,0,0,0,0,8000,
26.4,0,0,0,0,0,14550,
26.4,0,0,0,0,0,8000,
26.5,0,0,0,0,0,14550,
26.5,0,0,0,0,0,8000,
26.6,0,0,0,0,0,14550,
26.6,0,0,0,0,0,8000,
26.7,0,0,0,0,0,14550,
26.7,0,0,0,0,0,8000,
26.8,0,0,0,0,0,14550,
26.8,0,0,0,0,0,8000,
26.9,0,0,0,0,0,14550,
26.9,0,0,0,0,0,8000,
27.0,0,0,0,0,0,14550,
27.0,0,0,0,0,0,8000,
27.1,0,0,0,0,0,14550,
27.1,0,0,0,0,0,8000,
27.2,0,0,0,0,0,14550,
27.2,0,0,0,0,0,8000,
27.3,0,0,0,0,0,14550,
27.3,0,0,0,0,0,8000,
27.4,0,0,0,0,0,14550,
27.4,0,0,0,0,0,8000,
27.5,0,0,0,0,0,14550,
27.5,0,0,0,0,0,8000,
27.6,0,0,0,0,0,14550,
27.6,0,0,0,0,0,8000,
27.7,0,0,0,0,0,14550,
27.7,0,0,0,0,0,8000,
27.8,0,0,0,0,0,14550,
27.8,0,0,0,0,0,8000,
27.9,0,0,0,0,0,14550,
27.9,0,0,0,0,0,8000,
28.0,0,0,0,0,0,14550,
28.0,0,0,0,0,0,8000,
28.1,0,0,0,0,0,14550,
28.1,0,0,0,0,0,8000,
28.2,0,0,0,0,0,14550,
28.2,0,0,0,0,0,8000,
28.3,0,0,0,0,0,14550,
28.3,0,0,0,0,0,8000,
28.4,0,0,0,0,0,14550,
28.4,0,0,0,0,0,8000,
28.5,0,0,0,0,0,14550,
28.5,0,0,0,0,0,8000,
28.6,0,0,0,0,0,14550,
28.6,0,0,0,0,0,8000,
28.7,0,0,0,0,0,14550,
28.7,0,0,0,0,0,8000,
28.8,0,0,0,0,0,14550,
28.8,0,0,0,0,0,8000,
28.9,0,0,0,0,0,14550,
28.9,0,0,0,0,0,8000,
29.0,0,0,0,0,0,14550,
29.0,0,0,0,0,0,8000,
29.1,0,0,0,0,0,14550,
29.1,0,0,0,0,0,8000,
29.2,0,0,0,0,0,14550,
29.2,0,0,0,0,0,8000,
29.3,0,0,0,0,0,14550,
29.3,0,0,0,0,0,8000,
29.4,0,0,0,0,0,14550,
29.4,0,0,0,0,0,8000,
29.5,0,0,0,0,0,14550,
29.5,0,0,0,0,0,8000,
29.6,0,0,0,0,0,14550,
29.6,0,0,0,0,0,8000,
29.7,0,0,0,0,0,14550,
29.7,0,0,0,0,0,8000,
29.8,0,0,0,0,0,14550,
29.8,0,0,0,0,0,8000,
29.9,0,0,0,0,0,14550,
29.9,0,0,0,0,0,8000,
30.0,0,0,0,0,0,14550,
30.0,0,0,0,0,0,8000,
30.1,0,0,0,0,0,14550,
30.1,0,0,0,0,0,8000,
30.2,0,0,0,0,0,14550,
30.2,0,0,0,0,0,8000,
30.3,0,0,0,0,0,14550,
30.3,0,0,0,0,0,8000,
30.4,0,0,0,0,0,14550,
30.4,0,0,0,0,0,8000,
30.5,0,0,0,0,0,14550,
30.5,0,0,0,0,0,8000,
30.6,0,0,0,0,0,14550,
30.6,0,0,0,0,0,8000,
30.7,0,0,0,0,0,14550,
30.7,0,0,0,0,0,8000,
30.8,0,0,0,0,0,14550,
30.8,0,0,0,0,0,8000,
30.9,0,0,0,0,0,14550,
30.9,0,0,0,0,0,8000,
31.0,0,0,0,0,0,14550,
31.0,0,0,0,0,0,8000,
31.1,0,0,0,0,0,14550,
31.1,0,0,0,0,0,8000,
31.2,0,0,0,0,0,14550,
31.2,0,0,0,0,0,8000,
31.3,0,0,0,0,0,14550,
31.3,0,0,0,0,0,8000,
31.4,0,0,0,0,0,14550,
31.4,0,0,0,0,0,8000,
31.5,0,0,0,0,0,14550,
31.5,0,0,0,0,0,8000,
31.6,0,0,0,0,0,14550,
31.6,0,0,0,0,0,8000,
31.7,0,0,0,0,0,14550,
31.7,0,0,0,0,0,8000,
31.8,0,0,0,0,0,14550,
31.8,0,0,0,0,0,8000,
31.9,0,0,0,0,0,14550,
31.9,0,0,0,0,0,8000,
32.0,0,0,0,0,0,14550,
32.0,0,0,0,0,0,8000,
32.1,0,0,0,0,0,14550,
32.1,0,0,0,0,0,8000,
32.2,0,0,0,0,0,14550,
32.2,0,0,0,0,0,8000,
32.3,0,0,0,0,0,14550,
32.3,0,0,0,0,0,8000,
32.4,0,0,0,0,0,14550,
32.4,0,0,0,0,0,8000,
32.5,0,0,0,0,0,14550,
32.5,0,0,0,0,0,8000,
32.6,0,0,0,0,0,14550,
32.6,0,0,0,0,0,8000,
32.7,0,0,0,0,0,14550,
32.7,0,0,0,0,0,8000,
32.8,0,0,0,0,0,14550,
32.8,0,0,0,0,0,8000,
32.9,0,0,0,0,0,14550,
32.9,0,0,0,0,0,8000,
33.0,0,0,0,0,0,14550,
33.0,0,0,0,0,0,8000,
33.1,0,0,0,0,0,14550,
33.1,0,0,0,0,0,8000,
33.2,0,0,0,0,0,14550,
33.2,0,0,0,0,0,8000,
33.3,0,0,0,0,0,14550,
33.3,0,0,0,0,0,8000,
33.4,0,0,0,0,0,14550,
33.4,0,0,0,0,0,8000,
33.5,0,0,0,0,0,14550,
33.5,0,0,0,0,0,8000,
33.6,0,0,0,0,0,14550,
33.6,0,0,0,0,0,8000,
33.7,0,0,0,0,0,14550,
33.7,0,0,0,0,0,8000,
33.8,0,0,0,0,0,14550,
33.8,0,0,0,0,0,8000,
33.9,0,0,0,0,0,14550,
33.9,0,0,0,0,0,8000,
34.0,0,0,0,0,0,14550,
34.0,0,0,0,0,0,8000,
34.1,0,0,0,0,0,14550,
34.1,0,0,0,0,0,8000,
34.2,0,0,0,0,0,14550,
34.2,0,0,0,0,0,8000,
34.3,0,0,0,0,0,14550,
34.3,0,0,0,0,0,8000,
34.4,0,0,0,0,0,14550,
34.4,0,0,0,0,0,8000,
34.5,0,0,0,0,0,14550,
34.5,0,0,0,0,0,8000,
34.6,0,0,0,0,0,14550,
34.6,0,0,0,0,0,8000,
34.7,0,0,0,0,0,14550,
34.7,0,0,0,0,0,8000,
34.8,0,0,0,0,0,14550,
34.8,0,0,0,0,0,8000,
34.9,0,0,0,0,0,14550,
34.9,0,0,0,0,0,8000,
35.0,0,0,0,0,0,14550,
35.0,0,0,0,0,0,8000,
35.1,0,0,0,0,0,14550,
35.1,0,0,0,0,0,8000,
35.2,0,0,0,0,0,14550,
35.2,0,0,0,0,0,8000,
35.3,0,0,0,0,0,14550,
35.3,0,0,0,0,0,8000,
35.4,0,0,0,0,0,14550,
35.4,0,0,0,0,0,8000,
35.5,0,0,0,0,0,14550,
35.5,0,0,0,0,0,8000,
35.6,0,0,0,0,0,14550,
35.6,0,0,0,0,0,8000,
35.7,0,0,0,0,0,14550,
35.7,0,0,0,0,0,8000,
35.8,0,0,0,0,0,14550,
35.8,0,0,0,0,0,8000,
35.9,0,0,0,0,0,14550,
35.9,0,0,0,0,0,8000,
36.0,0,0,0,0,0,14550,
36.0,0,0,0,0,0,8000,
36.1,0,0,0,0,0,14550,
36.1,0,0,0,0,0,8000,
36.2,0,0,0,0,0,14550,
36.2,0,0,0,0,0,8000,
36.3,0,0,0,0,0,14550,
36.3,0,0,0,0,0,8000,
36.4,0,0,0,0,0,14550,
36.4,0,0,0,0,0,8000,
36.5,0,0,0,0,0,14550,
36.5,0,0,0,0,0,8000,
36.6,0,0,0,0,0,14550,
36.6,0,0,0,0,0,8000,
36.7,0,0,0,0,0,14550,
36.7,0,0,0,0,0,8000,
36.8,0,0,0,0,0,14550,
36.8,0,0,0,0,0,8000,
36.9,0,0,0,0,0,14550,
36.9,0,0,0,0,0,8000,
37.0,0,0,0,0,0,14550,
37.0,0,0,0,0,0,8000,
37.1,0,0,0,0,0,14550,
37.1,0,0,0,0,0,8000,
37.2,0,0,0,0,0,14550,
37.2,0,0,0,0,0,8000,
