t,loss_pct,delay_ms,jitter_ms,dup_pct,rate_limit_mbps,module,level
1755486747.0,2.5,0.8,1.1,0.1,0.0,mavlink_param_drift,medium
1755486748.0,12.0,20.0,8.8,0.8,0.5,telemetry_trickle_jam,high
1755486748.0,1.5,0.5,0.8,0.0,0.0,wifi_slow_scan,low
1755486748.0,2.5,0.8,1.1,0.1,0.0,mavlink_param_drift,medium
1755486749.0,12.0,20.0,8.8,0.8,0.5,telemetry_trickle_jam,high
1755486749.0,1.5,0.5,0.8,0.0,0.0,wifi_slow_scan,low
1755486749.0,2.5,0.8,1.1,0.1,0.0,mavlink_param_drift,medium
1755486750.0,12.0,20.0,8.8,0.8,0.5,telemetry_trickle_jam,high
1755486750.0,1.5,0.5,0.8,0.0,0.0,wifi_slow_scan,low
1755486750.0,2.5,0.8,1.1,0.1,0.0,mavlink_param_drift,medium
1755486751.0,12.0,20.0,8.8,0.8,0.5,telemetry_trickle_jam,high
1755486751.0,1.5,0.5,0.8,0.0,0.0,wifi_slow_scan,low
1755486751.0,2.5,0.8,1.1,0.1,0.0,mavlink_param_drift,medium
1755486752.0,12.0,20.0,8.8,0.8,0.5,telemetry_trickle_jam,high
1755486752.0,1.5,0.5,0.8,0.0,0.0,wifi_slow_scan,low
1755486752.0,2.5,0.8,1.1,0.1,0.0,mavlink_param_drift,medium
1755486753.0,12.0,20.0,8.8,0.8,0.5,telemetry_trickle_jam,high
1755486753.0,1.5,0.5,0.8,0.0,0.0,wifi_slow_scan,low
1755486753.0,2.5,0.8,1.1,0.1,0.0,mavlink_param_drift,medium
1755486754.0,12.0,20.0,8.8,0.8,0.5,telemetry_trickle_jam,high
1755486754.0,1.5,0.5,0.8,0.0,0.0,wifi_slow_scan,low
1755486754.0,2.5,0.8,1.1,0.1,0.0,mavlink_param_drift,medium
1755486755.0,12.0,20.0,8.8,0.8,0.5,telemetry_trickle_jam,high
1755486755.0,1.5,0.5,0.8,0.0,0.0,wifi_slow_scan,low
1755486755.0,2.5,0.8,1.1,0.1,0.0,mavlink_param_drift,medium
1755486756.0,12.0,20.0,8.8,0.8,0.5,telemetry_trickle_jam,high
1755486756.0,1.5,0.5,0.8,0.0,0.0,wifi_slow_scan,low
1755486756.0,2.5,0.8,1.1,0.1,0.0,mavlink_param_drift,medium
1755486757.0,12.0,20.0,8.8,0.8,0.5,telemetry_trickle_jam,high
1755486757.0,1.5,0.5,0.8,0.0,0.0,wifi_slow_scan,low
1755486757.0,2.5,0.8,1.1,0.1,0.0,mavlink_param_drift,medium
1755486758.0,12.0,20.0,8.8,0.8,0.5,telemetry_trickle_jam,high
1755486758.0,1.5,0.5,0.8,0.0,0.0,wifi_slow_scan,low
1755486758.0,2.5,0.8,1.1,0.1,0.0,mavlink_param_drift,medium
1755486759.0,12.0,20.0,8.8,0.8,0.5,telemetry_trickle_jam,high
1755486759.0,1.5,0.5,0.8,0.0,0.0,wifi_slow_scan,low
1755486759.0,2.5,0.8,1.1,0.1,0.0,mavlink_param_drift,medium
1755486760.0,12.0,20.0,8.8,0.8,0.5,telemetry_trickle_jam,high
1755486760.0,1.5,0.5,0.8,0.0,0.0,wifi_slow_scan,low
1755486760.0,2.5,0.8,1.1,0.1,0.0,mavlink_param_drift,medium
1755486761.0,12.0,20.0,8.8,0.8,0.5,telemetry_trickle_jam,high
1755486761.0,1.5,0.5,0.8,0.0,0.0,wifi_slow_scan,low
1755486761.0,2.5,0.8,1.1,0.1,0.0,mavlink_param_drift,medium
1755486762.0,12.0,20.0,8.8,0.8,0.5,telemetry_trickle_jam,high
1755486762.0,1.5,0.5,0.8,0.0,0.0,wifi_slow_scan,low
1755486762.0,2.5,0.8,1.1,0.1,0.0,mavlink_param_drift,medium
1755486763.0,0.0,0.0,0.0,0.0,0.0,lpc_loop_completed,low
1755486763.0,0.0,0.0,0.0,0.0,0.0,lpc_loop_completed,low
1755486763.0,0.0,0.0,0.0,0.0,0.0,lpc_loop_completed,low
1755486768.0,3.8,1.5,1.8,0.1,0.0,gps_slow_spoof,medium
1755486769.0,3.8,1.5,1.8,0.1,0.0,gps_slow_spoof,medium
1755486770.0,3.8,1.5,1.8,0.1,0.0,gps_slow_spoof,medium
1755486771.0,3.8,1.5,1.8,0.1,0.0,gps_slow_spoof,medium
1755486772.0,3.8,1.5,1.8,0.1,0.0,gps_slow_spoof,medium
1755486773.0,3.8,1.5,1.8,0.1,0.0,gps_slow_spoof,medium
1755486774.0,3.8,1.5,1.8,0.1,0.0,gps_slow_spoof,medium
1755486775.0,3.8,1.5,1.8,0.1,0.0,gps_slow_spoof,medium
1755486776.0,3.8,1.5,1.8,0.1,0.0,gps_slow_spoof,medium
