t,loss_pct,delay_ms,jitter_ms,dup_pct,rate_limit_mbps,dstPort,flowTag
9.8,0,0,0,0,0,5760,
9.9,0,0,0,0,0,5760,
10.0,0,0,0,0,0,5760,
10.1,0,0,0,0,0,5760,
10.2,0,0,0,0,0,5760,
10.3,0,0,0,0,0,5760,
10.4,0,0,0,0,0,5760,
10.5,0,0,0,0,0,5760,
10.6,0,0,0,0,0,5760,
10.7,0,0,0,0,0,5760,
10.8,0,0,0,0,0,5760,
10.9,0,0,0,0,0,5760,
11.0,0,0,0,0,0,5760,
11.1,0,0,0,0,0,5760,
11.2,0,0,0,0,0,5760,
11.3,0,0,0,0,0,5760,
11.4,0,0,0,0,0,5760,
11.5,0,0,0,0,0,5760,
11.6,0,0,0,0,0,5760,
11.7,0,0,0,0,0,5760,
11.8,0,0,0,0,0,5760,
11.9,0,0,0,0,0,5760,
12.0,0,0,0,0,0,5760,
12.1,0,0,0,0,0,5760,
12.2,0,0,0,0,0,5760,
12.3,0,0,0,0,0,5760,
12.4,0,0,0,0,0,5760,
12.5,0,0,0,0,0,5760,
12.6,0,0,0,0,0,5760,
12.7,0,0,0,0,0,5760,
12.8,0,0,0,0,0,5760,
12.9,0,0,0,0,0,5760,
13.0,0,0,0,0,0,5760,
13.1,0,0,0,0,0,5760,
13.2,0,0,0,0,0,5760,
13.3,0,0,0,0,0,5760,
13.4,0,0,0,0,0,5760,
13.5,0,0,0,0,0,5760,
13.6,0,0,0,0,0,5760,
13.7,0,0,0,0,0,5760,
13.8,0,0,0,0,0,5760,
13.9,0,0,0,0,0,5760,
14.0,0,0,0,0,0,5760,
14.1,0,0,0,0,0,5760,
14.2,0,0,0,0,0,5760,
14.3,0,0,0,0,0,5760,
14.4,0,0,0,0,0,5760,
14.5,0,0,0,0,0,5760,
14.6,0,0,0,0,0,5760,
14.7,0,0,0,0,0,5760,
14.8,0,0,0,0,0,5760,
14.9,0,0,0,0,0,5760,
15.0,0,0,0,0,0,5760,
15.1,0,0,0,0,0,5760,
15.2,0,0,0,0,0,5760,
15.3,0,0,0,0,0,5760,
15.4,0,0,0,0,0,5760,
15.5,0,0,0,0,0,5760,
15.6,0,0,0,0,0,5760,
15.7,0,0,0,0,0,5760,
15.8,0,0,0,0,0,5760,
15.9,0,0,0,0,0,5760,
16.0,0,0,0,0,0,5760,
16.1,0,0,0,0,0,5760,
16.2,0,0,0,0,0,5760,
16.3,0,0,0,0,0,5760,
16.4,0,0,0,0,0,5760,
16.5,0,0,0,0,0,5760,
16.6,0,0,0,0,0,5760,
16.7,0,0,0,0,0,5760,
16.8,0,0,0,0,0,5760,
16.9,0,0,0,0,0,5760,
17.0,0,0,0,0,0,5760,
17.1,0,0,0,0,0,5760,
17.2,0,0,0,0,0,5760,
17.3,0,0,0,0,0,5760,
17.4,0,0,0,0,0,5760,
17.5,0,0,0,0,0,5760,
17.6,0,0,0,0,0,5760,
17.7,0,0,0,0,0,5760,
17.8,0,0,0,0,0,5760,
17.9,0,0,0,0,0,5760,
18.0,0,0,0,0,0,5760,
