Timestamp,SrcIP,DstIP,Protocol,DstPort,PacketSize
18.5919,10.13.0.1,10.13.0.5,TCP,8000,66
18.5927,10.13.0.1,10.13.0.5,TCP,8000,74
18.5949,10.13.0.5,10.13.0.1,TCP,54378,74
18.5952,10.13.0.1,10.13.0.5,TCP,8000,66
18.5959,10.13.0.1,10.13.0.5,TCP,8000,74
18.5966,10.13.0.5,10.13.0.1,TCP,54384,74
18.5969,10.13.0.1,10.13.0.5,TCP,8000,66
18.5971,10.13.0.5,10.13.0.1,TCP,54352,380
18.5973,10.13.0.1,10.13.0.5,TCP,8000,66
18.5976,10.13.0.5,10.13.0.1,TCP,54360,388
18.5978,10.13.0.1,10.13.0.5,TCP,8000,66
18.5981,10.13.0.5,10.13.0.1,TCP,54354,386
18.5984,10.13.0.1,10.13.0.5,TCP,8000,66
18.5986,10.13.0.1,10.13.0.5,TCP,8000,461
18.5988,10.13.0.5,10.13.0.1,TCP,54384,66
18.6036,10.13.0.1,10.13.0.5,TCP,8000,454
18.6039,10.13.0.5,10.13.0.1,TCP,54378,66
18.6048,10.13.0.1,10.13.0.5,TCP,8000,457
18.6051,10.13.0.5,10.13.0.1,TCP,54366,66
18.6059,10.13.0.1,10.13.0.5,TCP,8000,66
18.6063,10.13.0.1,10.13.0.5,TCP,8000,66
18.6067,10.13.0.1,10.13.0.5,TCP,8000,66
18.6072,10.13.0.5,10.13.0.1,TCP,54354,66
18.6077,10.13.0.1,10.13.0.5,TCP,8000,66
18.6082,10.13.0.1,10.13.0.5,TCP,8000,74
18.6088,10.13.0.5,10.13.0.1,TCP,54400,74
18.6093,10.13.0.1,10.13.0.5,TCP,8000,66
18.6098,10.13.0.5,10.13.0.1,TCP,54360,66
18.6103,10.13.0.1,10.13.0.5,TCP,8000,66
18.6113,10.13.0.1,10.13.0.5,TCP,8000,446
18.6117,10.13.0.5,10.13.0.1,TCP,54400,66
18.6120,10.13.0.1,10.13.0.5,TCP,8000,74
18.6124,10.13.0.5,10.13.0.1,TCP,54408,74
18.6128,10.13.0.1,10.13.0.5,TCP,8000,66
18.6132,10.13.0.5,10.13.0.1,TCP,54352,66
18.6136,10.13.0.1,10.13.0.5,TCP,8000,66
18.6141,10.13.0.1,10.13.0.5,TCP,8000,540
18.6159,10.13.0.5,10.13.0.1,TCP,54408,66
18.6162,10.13.0.5,10.13.0.1,TCP,54378,383
18.6166,10.13.0.1,10.13.0.5,TCP,8000,66
18.6170,10.13.0.5,10.13.0.1,TCP,54384,390
18.6173,10.13.0.1,10.13.0.5,TCP,8000,66
18.6175,10.13.0.5,10.13.0.1,TCP,54366,386
18.6178,10.13.0.1,10.13.0.5,TCP,8000,66
18.6180,10.13.0.5,10.13.0.1,TCP,54400,375
18.6183,10.13.0.1,10.13.0.5,TCP,8000,66
18.6185,10.13.0.1,10.13.0.5,TCP,8000,66
18.6188,10.13.0.1,10.13.0.5,TCP,8000,66
18.6190,10.13.0.1,10.13.0.5,TCP,8000,66
18.6193,10.13.0.1,10.13.0.5,TCP,8000,66
18.6196,10.13.0.5,10.13.0.1,TCP,54400,66
18.6198,10.13.0.1,10.13.0.5,TCP,8000,66
18.6200,10.13.0.5,10.13.0.1,TCP,54378,66
18.6202,10.13.0.1,10.13.0.5,TCP,8000,66
18.6204,10.13.0.5,10.13.0.1,TCP,54366,66
18.6207,10.13.0.1,10.13.0.5,TCP,8000,66
18.6211,10.13.0.5,10.13.0.1,TCP,54408,381
18.6215,10.13.0.1,10.13.0.5,TCP,8000,66
18.6219,10.13.0.5,10.13.0.1,TCP,54384,66
18.6225,10.13.0.1,10.13.0.5,TCP,8000,66
18.6232,10.13.0.1,10.13.0.5,TCP,8000,66
18.6236,10.13.0.5,10.13.0.1,TCP,54408,66
18.6240,10.13.0.1,10.13.0.5,TCP,8000,66
18.6679,10.13.0.1,10.13.0.5,TCP,8000,74
18.6683,10.13.0.5,10.13.0.1,TCP,54420,74
18.6686,10.13.0.1,10.13.0.5,TCP,8000,66
18.6690,10.13.0.1,10.13.0.5,TCP,8000,452
18.6693,10.13.0.5,10.13.0.1,TCP,54420,66
18.6716,10.13.0.5,10.13.0.1,TCP,54420,482
18.6719,10.13.0.1,10.13.0.5,TCP,8000,66
18.6722,10.13.0.5,10.13.0.1,TCP,54420,7306
18.6724,10.13.0.1,10.13.0.5,TCP,8000,66
18.6726,10.13.0.5,10.13.0.1,TCP,54420,1018
18.6731,10.13.0.1,10.13.0.5,TCP,8000,66
18.6733,10.13.0.5,10.13.0.1,TCP,54420,8258
18.6735,10.13.0.1,10.13.0.5,TCP,8000,66
18.6738,10.13.0.5,10.13.0.1,TCP,54420,8258
18.6740,10.13.0.1,10.13.0.5,TCP,8000,66
18.6742,10.13.0.5,10.13.0.1,TCP,54420,8258
18.6744,10.13.0.1,10.13.0.5,TCP,8000,66
18.6747,10.13.0.5,10.13.0.1,TCP,54420,8258
18.6749,10.13.0.1,10.13.0.5,TCP,8000,66
18.6751,10.13.0.5,10.13.0.1,TCP,54420,8258
18.6754,10.13.0.1,10.13.0.5,TCP,8000,66
18.6917,10.13.0.5,10.13.0.1,TCP,54420,8258
18.6922,10.13.0.5,10.13.0.1,TCP,54420,7306
18.6926,10.13.0.5,10.13.0.1,TCP,54420,5858
18.6929,10.13.0.1,10.13.0.5,TCP,8000,66
18.6933,10.13.0.5,10.13.0.1,TCP,54420,21786
18.6937,10.13.0.5,10.13.0.1,TCP,54420,21786
18.6940,10.13.0.1,10.13.0.5,TCP,8000,66
18.6943,10.13.0.5,10.13.0.1,TCP,54420,11366
18.7403,10.13.0.1,10.13.0.5,TCP,8000,74
18.7434,10.13.0.5,10.13.0.1,TCP,54424,74
18.7436,10.13.0.1,10.13.0.5,TCP,8000,66
18.7470,10.13.0.1,10.13.0.5,TCP,8000,74
18.7472,10.13.0.5,10.13.0.1,TCP,54436,74
18.7474,10.13.0.1,10.13.0.5,TCP,8000,66
18.7476,10.13.0.1,10.13.0.5,TCP,8000,74
18.7478,10.13.0.5,10.13.0.1,TCP,54450,74
18.7480,10.13.0.1,10.13.0.5,TCP,8000,66
18.7482,10.13.0.1,10.13.0.5,TCP,8000,74
18.7483,10.13.0.5,10.13.0.1,TCP,54454,74
18.7485,10.13.0.1,10.13.0.5,TCP,8000,66
18.7487,10.13.0.1,10.13.0.5,TCP,8000,74
18.7538,10.13.0.5,10.13.0.1,TCP,54466,74
18.7540,10.13.0.1,10.13.0.5,TCP,8000,66
18.7542,10.13.0.1,10.13.0.5,TCP,8000,74
18.7544,10.13.0.5,10.13.0.1,TCP,54474,74
18.7546,10.13.0.1,10.13.0.5,TCP,8000,66
18.7553,10.13.0.1,10.13.0.5,TCP,8000,543
18.7555,10.13.0.5,10.13.0.1,TCP,54474,66
18.7573,10.13.0.5,10.13.0.1,TCP,54474,384
18.7593,10.13.0.1,10.13.0.5,TCP,8000,66
18.7595,10.13.0.1,10.13.0.5,TCP,8000,541
