time,node,rx_pkts,rx_bytes,drop_pkts,loss_pct,dup_pct,rate_limit_mbps,delay_ms,jitter_ms,port
53,Flight:5760,656,6560000,0,0,0,0,0,0,5760
53,Simulator:8000,193,1930000,0,0,0,0,0,0,8000
53,Simulator:8080,3218,32180000,0,0,0,0,0,0,8080
54,GCS:14550,0,0,0,0,0,0,0,0,14550
54,Companion:5000,334,3340000,0,0,0,0,0,0,5000
54,Flight:5760,668,6680000,0,0,0,0,0,0,5760
54,Simulator:8000,196,1960000,0,0,0,0,0,0,8000
54,Simulator:8080,3281,32810000,0,0,0,0,0,0,8080
55,GCS:14550,0,0,0,0,0,0,0,0,14550
55,Companion:5000,340,3400000,0,0,0,0,0,0,5000
55,Flight:5760,681,6810000,0,0,0,0,0,0,5760
55,Simulator:8000,200,2000000,0,0,0,0,0,0,8000
55,Simulator:8080,3343,33430000,0,0,0,0,0,0,8080
56,GCS:14550,0,0,0,0,0,0,0,0,14550
56,Companion:5000,346,3460000,0,0,0,0,0,0,5000
56,Flight:5760,693,6930000,0,0,0,0,0,0,5760
56,Simulator:8000,204,2040000,0,0,0,0,0,0,8000
56,Simulator:8080,3406,34060000,0,0,0,0,0,0,8080
57,GCS:14550,0,0,0,0,0,0,0,0,14550
57,Companion:5000,353,3530000,0,0,0,0,0,0,5000
57,Flight:5760,706,7060000,0,0,0,0,0,0,5760
57,Simulator:8000,208,2080000,0,0,0,0,0,0,8000
57,Simulator:8080,3468,34680000,0,0,0,0,0,0,8080
58,GCS:14550,0,0,0,0,0,0,0,0,14550
58,Companion:5000,359,3590000,0,0,0,0,0,0,5000
58,Flight:5760,718,7180000,0,0,0,0,0,0,5760
58,Simulator:8000,211,2110000,0,0,0,0,0,0,8000
58,Simulator:8080,3531,35310000,0,0,0,0,0,0,8080
59,GCS:14550,0,0,0,0,0,0,0,0,14550
59,Companion:5000,365,3650000,0,0,0,0,0,0,5000
59,Flight:5760,731,7310000,0,0,0,0,0,0,5760
59,Simulator:8000,215,2150000,0,0,0,0,0,0,8000
59,Simulator:8080,3593,35930000,0,0,0,0,0,0,8080
